"Date","Symbol","Open","High","Low","Close","Previous Close","Volume","Turnover","VWAP","Change","Change%"
"2026-03-30","RELIANCE","1335.0","1365.0","1334.0999755859375","1343.9000244140625","1348.0999755859375","24393861","0.0","0.0","-4.20","-0.31"
"2026-04-01","RELIANCE","1384.199951171875","1384.4000244140625","1362.9000244140625","1369.199951171875","1343.9000244140625","14404619","0.0","0.0","25.30","1.88"
"2026-04-02","RELIANCE","1357.0","1358.199951171875","1328.0","1350.5","1369.199951171875","21280051","0.0","0.0","-18.70","-1.37"
"2026-04-06","RELIANCE","1359.0","1359.0","1290.0","1304.699951171875","1350.5","29274881","0.0","0.0","-45.80","-3.39"
"2026-04-07","RELIANCE","1295.0","1308.300048828125","1291.0","1304.5999755859375","1304.699951171875","28388922","0.0","0.0","-0.10","-0.01"
"2026-04-08","RELIANCE","1349.0","1350.5999755859375","1326.199951171875","1347.800048828125","1304.5999755859375","21817543","0.0","0.0","43.20","3.31"
"2026-04-09","RELIANCE","1346.0","1350.0","1326.300048828125","1330.0","1347.800048828125","20725390","0.0","0.0","-17.80","-1.32"
"2026-04-10","RELIANCE","1337.0","1352.300048828125","1331.5","1350.199951171875","1330.0","19364461","0.0","0.0","20.20","1.52"
"2026-04-13","RELIANCE","1321.199951171875","1327.5999755859375","1310.0","1315.0999755859375","1350.199951171875","28753269","0.0","0.0","-35.10","-2.60"
"2026-04-15","RELIANCE","1337.0","1347.0","1334.199951171875","1344.0999755859375","1315.0999755859375","15313779","0.0","0.0","29.00","2.21"
"2026-04-16","RELIANCE","1352.0","1353.800048828125","1330.0","1343.300048828125","1344.0999755859375","30211012","0.0","0.0","-0.80","-0.06"
"2026-04-17","RELIANCE","1340.0","1368.4000244140625","1340.0","1365.0","1343.300048828125","13869105","0.0","0.0","21.70","1.62"
"2026-04-20","RELIANCE","1363.199951171875","1373.0","1352.800048828125","1363.300048828125","1365.0","13614733","0.0","0.0","-1.70","-0.12"
"2026-04-21","RELIANCE","1359.0","1369.800048828125","1350.0999755859375","1353.300048828125","1363.300048828125","27293629","0.0","0.0","-10.00","-0.73"
"2026-04-22","RELIANCE","1350.300048828125","1366.0","1349.0999755859375","1362.0999755859375","1353.300048828125","9525953","0.0","0.0","8.80","0.65"
"2026-04-23","RELIANCE","1346.0","1355.5","1340.699951171875","1343.4000244140625","1362.0999755859375","16385079","0.0","0.0","-18.70","-1.37"
"2026-04-24","RELIANCE","1340.0","1345.9000244140625","1325.0","1327.800048828125","1343.4000244140625","11744802","0.0","0.0","-15.60","-1.16"
"2026-04-27","RELIANCE","1313.0","1371.5999755859375","1311.0","1365.800048828125","1327.800048828125","24673098","0.0","0.0","38.00","2.86"
"2026-04-28","RELIANCE","1358.0","1395.199951171875","1357.0","1388.9000244140625","1365.800048828125","41027699","0.0","0.0","23.10","1.69"
"2026-04-29","RELIANCE","1392.0","1433.800048828125","1391.300048828125","1425.4000244140625","1388.9000244140625","30542143","0.0","0.0","36.50","2.63"
"2026-04-30","RELIANCE","1409.0","1437.0","1393.0999755859375","1430.800048828125","1425.4000244140625","30957881","0.0","0.0","5.40","0.38"
"2026-05-01","RELIANCE","1430.800048828125","1430.800048828125","1430.800048828125","1430.800048828125","1430.800048828125","0","0.0","0.0","0.00","0.00"
"2026-05-04","RELIANCE","1433.4000244140625","1467.4000244140625","1433.4000244140625","1463.0999755859375","1430.800048828125","24035700","0.0","0.0","32.30","2.26"
"2026-05-05","RELIANCE","1460.0","1473.4000244140625","1450.0","1463.5999755859375","1463.0999755859375","23543341","0.0","0.0","0.50","0.03"
"2026-05-06","RELIANCE","1463.0","1473.300048828125","1427.5","1437.9000244140625","1463.5999755859375","14221786","0.0","0.0","-25.70","-1.76"
"2026-05-07","RELIANCE","1438.800048828125","1449.5","1430.300048828125","1436.199951171875","1437.9000244140625","19816903","0.0","0.0","-1.70","-0.12"
"2026-05-08","RELIANCE","1426.0","1442.800048828125","1417.5","1435.199951171875","1436.199951171875","8663105","0.0","0.0","-1.00","-0.07"
"2026-05-11","RELIANCE","1420.0","1428.0","1382.0","1388.199951171875","1435.199951171875","15261787","0.0","0.0","-47.00","-3.27"
"2026-05-12","RELIANCE","1392.0","1393.5","1360.300048828125","1364.0","1388.199951171875","24357500","0.0","0.0","-24.20","-1.74"
"2026-05-13","RELIANCE","1361.4000244140625","1372.4000244140625","1352.4000244140625","1358.800048828125","1364.0","13797989","0.0","0.0","-5.20","-0.38"
"2026-05-14","RELIANCE","1365.199951171875","1378.0","1358.4000244140625","1361.800048828125","1358.800048828125","17303059","0.0","0.0","3.00","0.22"
"2026-05-15","RELIANCE","1356.800048828125","1364.800048828125","1329.199951171875","1336.4000244140625","1361.800048828125","19976192","0.0","0.0","-25.40","-1.87"
"2026-05-18","RELIANCE","1334.0","1342.0","1318.699951171875","1335.9000244140625","1336.4000244140625","13022473","0.0","0.0","-0.50","-0.04"
"2026-05-19","RELIANCE","1338.699951171875","1344.0","1318.4000244140625","1322.699951171875","1335.9000244140625","21665501","0.0","0.0","-13.20","-0.99"
"2026-05-20","RELIANCE","1318.699951171875","1362.9000244140625","1312.5999755859375","1359.699951171875","1322.699951171875","13248515","0.0","0.0","37.00","2.80"
"2026-05-21","RELIANCE","1367.199951171875","1370.9000244140625","1345.199951171875","1349.5999755859375","1359.699951171875","17150630","0.0","0.0","-10.10","-0.74"
"2026-05-22","RELIANCE","1350.0","1367.4000244140625","1349.0999755859375","1354.5","1349.5999755859375","7105813","0.0","0.0","4.90","0.36"
"2026-05-25","RELIANCE","1366.800048828125","1371.0999755859375","1357.0","1367.0","1354.5","6750071","0.0","0.0","12.50","0.92"
"2026-05-26","RELIANCE","1360.0999755859375","1368.5","1352.4000244140625","1356.300048828125","1367.0","13769747","0.0","0.0","-10.70","-0.78"
"2026-05-27","RELIANCE","1353.0","1361.0","1348.5999755859375","1350.5","1356.300048828125","13215138","0.0","0.0","-5.80","-0.43"
"2026-05-28","RELIANCE","1350.5","1350.5","1350.5","1350.5","1350.5","0","0.0","0.0","0.00","0.00"
"2026-05-29","RELIANCE","1364.0","1369.0","1317.0","1321.199951171875","1350.5","42634247","0.0","0.0","-29.30","-2.17"
"2026-06-01","RELIANCE","1332.5","1335.5","1318.5","1320.0","1321.199951171875","10700603","0.0","0.0","-1.20","-0.09"
"2026-06-02","RELIANCE","1307.699951171875","1327.800048828125","1300.300048828125","1314.5999755859375","1320.0","23302785","0.0","0.0","-5.40","-0.41"
"2026-06-03","RELIANCE","1315.0","1324.0","1301.0","1313.199951171875","1314.5999755859375","20012293","0.0","0.0","-1.40","-0.11"
"2026-06-04","RELIANCE","1301.0","1311.199951171875","1293.0999755859375","1303.699951171875","1313.199951171875","23474327","0.0","0.0","-9.50","-0.72"
"2026-06-05","RELIANCE","1304.5","1306.0","1288.0","1291.0","1303.699951171875","17785223","0.0","0.0","-12.70","-0.97"
"2026-06-08","RELIANCE","1277.0","1282.5999755859375","1259.199951171875","1263.300048828125","1291.0","16494759","0.0","0.0","-27.70","-2.15"
"2026-06-09","RELIANCE","1269.0","1274.199951171875","1261.5999755859375","1264.5999755859375","1263.300048828125","6444551","0.0","0.0","1.30","0.10"
